CENSUSTRACT,2020_MEDHOUSEINC,2020_MEDHOUSEVAL,1990_MEDHOUSEINC,1990_MEDHOUSEVAL,STATEFP,TRACTCE,GEOID,INTPTLAT,INTPTLON
Census Tract 78,"$166,611","$1,156,500","$97,731.84","$417,521",53,7800,53033007800,47.6141558,-122.2810958
Census Tract 79.01,"$81,376","$448,400",#N/A,#N/A,53,7901,53033007901,47.6144349,-122.3108156
Census Tract 79.02,"$80,522","$682,600",#N/A,#N/A,53,7902,53033007902,47.6143565,-122.3057243
Census Tract 80.02,"$95,391","$1,019,100","$30,744.98",#N/A,53,8002,53033008002,47.6120898,-122.3453618
Census Tract 80.03,"$103,750","$488,500",#N/A,#N/A,53,8003,53033008003,47.6161316,-122.3495916
Census Tract 80.04,"$168,281","$631,900",#N/A,#N/A,53,8004,53033008004,47.6150718,-122.3552018
Census Tract 81.01,"$83,807","$720,100",#N/A,#N/A,53,8101,53033008101,47.6074716,-122.3427956
Census Tract 81.02,"$101,618","$692,500",#N/A,#N/A,53,8102,53033008102,47.605282,-122.336012
Census Tract 82,"$108,029","$493,700","$32,859.45",#N/A,53,8200,53033008200,47.6102887,-122.3318896
Census Tract 83,"$70,488","$482,700","$43,248.20",#N/A,53,8300,53033008300,47.6118181,-122.3280064
Census Tract 84.01,"$85,739","$1,106,300",#N/A,#N/A,53,8401,53033008401,47.6123725,-122.3226009
Census Tract 84.02,"$71,196","$368,200",#N/A,#N/A,53,8402,53033008402,47.6148658,-122.3260059
Census Tract 85,"$70,246","$613,600","$18,173.58","$963,115",53,8500,53033008500,47.6049717,-122.3249555
Census Tract 86,"$62,810","$751,200","$25,394.62","$238,326",53,8600,53033008600,47.6071013,-122.3166895
Census Tract 87,"$109,594","$742,700","$32,260.83","$162,947",53,8700,53033008700,47.6059236,-122.3077909
Census Tract 88,"$136,250","$769,900","$51,630.44","$167,050",53,8800,53033008800,47.6073299,-122.2976324
Census Tract 89,"$109,684","$715,100","$58,494.59","$250,012",53,8900,53033008900,47.6010291,-122.285229
Census Tract 90,"$57,959","$579,200","$28,865.29","$134,054",53,9000,53033009000,47.5980274,-122.308902
Census Tract 91,"$33,346","$490,900","$12,051.26",#N/A,53,9100,53033009100,47.5983847,-122.3217349
Census Tract 92,"$31,859","$535,700","$13,343.20",#N/A,53,9200,53033009200,47.6004609,-122.3335323
Census Tract 93,"$91,071","$557,800","$52,753.57","$184,480",53,9300,53033009300,47.5771253,-122.330936
Census Tract 94,"$77,783","$644,900","$50,257.05","$150,839",53,9400,53033009400,47.5880988,-122.3099702
Census Tract 95,"$128,996","$873,000","$62,259.68","$286,397",53,9500,53033009500,47.5783426,-122.2831943
Census Tract 96,"$142,768","$786,400","$75,734.58","$351,892",53,9600,53033009600,47.5899898,-122.3882351
Census Tract 97.01,"$125,125","$757,600","$75,159.00","$273,462",53,9701,53033009701,47.5731929,-122.4101745
Census Tract 97.02,"$123,496","$719,600","$75,159.00","$273,462",53,9702,53033009702,47.5719337,-122.3960103
Census Tract 98.01,"$136,143","$679,900",#N/A,#N/A,53,9801,53033009801,47.5762555,-122.383143
Census Tract 98.02,"$93,466","$655,000",#N/A,#N/A,53,9802,53033009802,47.5672342,-122.3830567
Census Tract 99,"$84,351","$566,400","$66,689.96","$188,845",53,9900,53033009900,47.5794536,-122.3550326
Census Tract 100.01,"$59,529","$568,000","$51,097.91","$173,189",53,10001,53033010001,47.5673069,-122.3043618
Census Tract 100.02,"$78,929","$638,300","$51,097.91","$173,189",53,10002,53033010002,47.5765865,-122.3095716
Census Tract 101.01,"$63,512","$568,800",#N/A,#N/A,53,10101,53033010101,47.5657253,-122.2906975
Census Tract 101.02,"$134,063","$804,200",#N/A,#N/A,53,10102,53033010102,47.5660585,-122.2688521
Census Tract 102,"$132,682","$772,000","$77,794.69","$241,416",53,10200,53033010200,47.5564564,-122.2517138
Census Tract 103.01,"$102,135","$579,800",#N/A,#N/A,53,10301,53033010301,47.5521545,-122.2805848
Census Tract 103.02,"$104,412","$493,300",#N/A,#N/A,53,10302,53033010302,47.557377,-122.2858807
Census Tract 104.01,"$81,756","$578,000","$63,987.50","$166,227",53,10401,53033010401,47.5532095,-122.2955875
Census Tract 104.02,"$94,125","$557,400","$63,987.50","$166,227",53,10402,53033010402,47.5539478,-122.3101489
Census Tract 105.01,"$94,301","$683,000",#N/A,#N/A,53,10501,53033010501,47.5576235,-122.3801107
Census Tract 105.02,"$106,833","$656,700",#N/A,#N/A,53,10502,53033010502,47.5573014,-122.3896847
Census Tract 106.01,"$127,448","$662,900",#N/A,#N/A,53,10601,53033010601,47.5459808,-122.3816984
Census Tract 106.02,"$100,168","$812,000",#N/A,#N/A,53,10602,53033010602,47.5476919,-122.3967392
Census Tract 107.01,"$88,929","$542,500","$35,153.54","$147,880",53,10701,53033010701,47.5451419,-122.3675265
Census Tract 107.02,"$54,646","$550,700","$35,153.54","$147,880",53,10702,53033010702,47.5467996,-122.3730587
Census Tract 108,"$94,063","$515,100","$62,728.91","$166,931",53,10800,53033010800,47.5440342,-122.3498743
Census Tract 109,"$52,063","$470,500","$42,489.91","$105,973",53,10900,53033010900,47.5408335,-122.3175563
Census Tract 110.01,"$36,898","$503,000","$32,161.13","$172,544",53,11001,53033011001,47.5384101,-122.2861704
Census Tract 110.02,"$49,702","$506,200","$32,161.13","$172,544",53,11002,53033011002,47.5405945,-122.2991995
Census Tract 111.01,"$65,746","$474,700","$53,313.43","$168,656",53,11101,53033011101,47.5394734,-122.2773089
Census Tract 111.02,"$108,125","$787,400","$53,313.43","$168,656",53,11102,53033011102,47.5424632,-122.2604403
Census Tract 112,"$54,412","$404,000","$41,507.46","$121,780",53,11200,53033011200,47.5296655,-122.3262393
Census Tract 113,"$68,672","$462,700","$65,852.93","$159,856",53,11300,53033011300,47.5273623,-122.343569
Census Tract 114.01,"$87,938","$461,700","$56,164.11","$157,637",53,11401,53033011401,47.5297061,-122.362028
Census Tract 114.02,"$69,464",#N/A,#N/A,"$157,637",53,11402,53033011402,47.5206654,-122.3646254
Census Tract 115,"$98,266","$569,800","$66,030.57","$177,689",53,11500,53033011500,47.5301833,-122.375533
Census Tract 116.01,"$136,285",#N/A,#N/A,#N/A,53,11601,53033011601,47.5235901,-122.3885434
Census Tract 116.02,"$110,873","$690,300",#N/A,#N/A,53,11602,53033011602,47.5338344,-122.3952427
Census Tract 117,"$80,558","$460,700","$67,915.82","$168,784",53,11700,53033011700,47.5201682,-122.2828633
Census Tract 242,"$185,163","$2,000,001","$165,528.20","$756,548",53,24200,53033024200,47.634866,-122.2402688
Census Tract 243.01,"$89,013","$712,600",#N/A,#N/A,53,24301,53033024301,47.5820465,-122.233543
Census Tract 243.02,"$188,529","$1,602,300",#N/A,#N/A,53,24302,53033024302,47.5926899,-122.2449557
Census Tract 245,"$211,395","$1,398,500","$143,764.62","$591,773",53,24500,53033024500,47.5664296,-122.2170417
Census Tract 263,"$67,250",#N/A,"$40,484.95","$139,859",53,26300,53033026300,47.5036921,-122.2847033
Census Tract 264,"$63,542","$365,600","$61,045.50","$191,515",53,26400,53033026400,47.5090918,-122.3112029
Census Tract 265,"$55,526",#N/A,#N/A,#N/A,53,26500,53033026500,47.5130046,-122.3382273
,,,,,,,,,
